ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20130808,source1,mfr1,mpn1,partnumber3,104033,-1
20130808,source1,mfr1,mpn1,partnumber1,104033,0.23
20130808,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130809,source1,mfr1,mpn1,partnumber3,103748,-1
20130809,source1,mfr1,mpn1,partnumber1,103748,0.23
20130809,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130809,source1,mfr1,mpn1,partnumber3,103748,-1
20130809,source1,mfr1,mpn1,partnumber1,103748,0.23
20130809,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130810,source1,mfr1,mpn1,partnumber3,103368,-1
20130810,source1,mfr1,mpn1,partnumber1,103368,0.23
20130810,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130810,source1,mfr1,mpn1,partnumber3,103368,-1
20130810,source1,mfr1,mpn1,partnumber1,103368,0.23
20130810,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130811,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130811,source1,mfr1,mpn1,partnumber1,103368,0.23
20130811,source1,mfr1,mpn1,partnumber3,103368,-1
20130812,source1,mfr1,mpn1,partnumber3,103368,-1
20130812,source1,mfr1,mpn1,partnumber1,103368,0.23
20130812,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130812,source1,mfr1,mpn1,partnumber3,103368,-1
20130812,source1,mfr1,mpn1,partnumber1,103368,0.23
20130812,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130813,source1,mfr1,mpn1,partnumber3,103088,-1
20130813,source1,mfr1,mpn1,partnumber1,103088,0.23
20130813,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130813,source1,mfr1,mpn1,partnumber3,103088,-1
20130813,source1,mfr1,mpn1,partnumber1,103088,0.23
20130813,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130814,source1,mfr1,mpn1,partnumber3,97088,-1
20130814,source1,mfr1,mpn1,partnumber1,97088,0.23
20130814,source1,mfr1,mpn1,partnumber2,96000,0.03749
20130814,source1,mfr1,mpn1,partnumber3,97088,-1
20130814,source1,mfr1,mpn1,partnumber1,97088,0.23
20130814,source1,mfr1,mpn1,partnumber2,96000,0.03749
20130815,source1,mfr1,mpn1,partnumber3,93798,-1
20130815,source1,mfr1,mpn1,partnumber1,93798,0.23
20130815,source1,mfr1,mpn1,partnumber2,93000,0.03749
20130815,source1,mfr1,mpn1,partnumber3,93798,-1
20130815,source1,mfr1,mpn1,partnumber1,93798,0.23
20130815,source1,mfr1,mpn1,partnumber2,93000,0.03749
20130816,source1,mfr1,mpn1,partnumber3,93798,-1
20130816,source1,mfr1,mpn1,partnumber1,93798,0.23
20130816,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130816,source1,mfr1,mpn1,partnumber3,93798,-1
20130816,source1,mfr1,mpn1,partnumber1,93798,0.23
20130816,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130817,source1,mfr1,mpn1,partnumber2,87000,0.03749
20130817,source1,mfr1,mpn1,partnumber1,90629,0.23
20130817,source1,mfr1,mpn1,partnumber3,90629,-1
20130817,source1,mfr1,mpn1,partnumber3,90629,-1
20130817,source1,mfr1,mpn1,partnumber1,90629,0.23
20130817,source1,mfr1,mpn1,partnumber2,87000,0.03749
20130818,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130818,source1,mfr1,mpn1,partnumber1,87621,0.23
20130818,source1,mfr1,mpn1,partnumber3,87621,-1
20130818,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130818,source1,mfr1,mpn1,partnumber1,87621,0.23
20130818,source1,mfr1,mpn1,partnumber3,87621,-1
20130819,source1,mfr1,mpn1,partnumber3,87621,-1
20130819,source1,mfr1,mpn1,partnumber1,87621,0.23
20130819,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130819,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130819,source1,mfr1,mpn1,partnumber1,87621,0.23
20130819,source1,mfr1,mpn1,partnumber3,87621,-1
20130820,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130820,source1,mfr1,mpn1,partnumber1,86991,0.23
20130820,source1,mfr1,mpn1,partnumber3,86991,-1
20130820,source1,mfr1,mpn1,partnumber3,86991,-1
20130820,source1,mfr1,mpn1,partnumber1,86991,0.23
20130820,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130905,source1,mfr1,mpn1,partnumber3,92656,-1
20130905,source1,mfr1,mpn1,partnumber1,92656,0.23
20130905,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130906,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130906,source1,mfr1,mpn1,partnumber1,86656,0.23
20130906,source1,mfr1,mpn1,partnumber3,86656,-1
20130907,source1,mfr1,mpn1,partnumber3,92556,-1
20130907,source1,mfr1,mpn1,partnumber1,92556,0.23
20130907,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130908,source1,mfr1,mpn1,partnumber3,92541,-1
20130908,source1,mfr1,mpn1,partnumber1,92541,0.23
20130908,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130909,source1,mfr1,mpn1,partnumber3,92541,-1
20130909,source1,mfr1,mpn1,partnumber1,92541,0.23
20130909,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130910,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130910,source1,mfr1,mpn1,partnumber1,92231,0.23
20130910,source1,mfr1,mpn1,partnumber3,92231,-1
20130911,source1,mfr1,mpn1,partnumber3,104131,-1
20130911,source1,mfr1,mpn1,partnumber1,104131,0.23
20130911,source1,mfr1,mpn1,partnumber2,102000,0.03749
20130912,source1,mfr1,mpn1,partnumber2,99000,0.03749
20130912,source1,mfr1,mpn1,partnumber1,100476,0.23
20130912,source1,mfr1,mpn1,partnumber3,100476,-1
20130913,source1,mfr1,mpn1,partnumber2,96000,0.03749
20130913,source1,mfr1,mpn1,partnumber1,97146,0.23
20130913,source1,mfr1,mpn1,partnumber3,97146,-1
20130914,source1,mfr1,mpn1,partnumber3,94031,-1
20130914,source1,mfr1,mpn1,partnumber1,94031,0.23
20130914,source1,mfr1,mpn1,partnumber2,93000,0.03749
20130915,source1,mfr1,mpn1,partnumber2,93000,0.03749
20130915,source1,mfr1,mpn1,partnumber1,94031,0.23
20130915,source1,mfr1,mpn1,partnumber3,94031,-1
20130916,source1,mfr1,mpn1,partnumber3,94031,-1
20130916,source1,mfr1,mpn1,partnumber1,94031,0.23
20130916,source1,mfr1,mpn1,partnumber2,93000,0.03749
20130918,source1,mfr1,mpn1,partnumber3,92976,-1
20130918,source1,mfr1,mpn1,partnumber1,92976,0.23
20130918,source1,mfr1,mpn1,partnumber2,90000,0.03749
20130919,source1,mfr1,mpn1,partnumber2,75000,0.03749
20130919,source1,mfr1,mpn1,partnumber1,77566,0.23
20130919,source1,mfr1,mpn1,partnumber3,77566,-1
20130920,source1,mfr1,mpn1,partnumber3,77502,-1
20130920,source1,mfr1,mpn1,partnumber1,77502,0.23
20130920,source1,mfr1,mpn1,partnumber2,75000,0.03749
20130921,source1,mfr1,mpn1,partnumber3,77222,-1
20130921,source1,mfr1,mpn1,partnumber1,77222,0.23
20130921,source1,mfr1,mpn1,partnumber2,75000,0.03749
20130922,source1,mfr1,mpn1,partnumber2,75000,0.03749
20130922,source1,mfr1,mpn1,partnumber1,77222,0.23
20130922,source1,mfr1,mpn1,partnumber3,77222,-1
20130923,source1,mfr1,mpn1,partnumber3,77222,-1
20130923,source1,mfr1,mpn1,partnumber1,77222,0.23
20130923,source1,mfr1,mpn1,partnumber2,75000,0.03749
20130924,source1,mfr1,mpn1,partnumber3,74067,-1
20130924,source1,mfr1,mpn1,partnumber1,74067,0.23
20130924,source1,mfr1,mpn1,partnumber2,72000,0.03749
20130925,source1,mfr1,mpn1,partnumber3,73842,-1
20130925,source1,mfr1,mpn1,partnumber1,73842,0.23
20130925,source1,mfr1,mpn1,partnumber2,72000,0.03749
20130926,source1,mfr1,mpn1,partnumber3,84817,-1
20130926,source1,mfr1,mpn1,partnumber1,84817,0.23
20130926,source1,mfr1,mpn1,partnumber2,84000,0.03749
20130927,source1,mfr1,mpn1,partnumber3,96809,-1
20130927,source1,mfr1,mpn1,partnumber1,96809,0.23
20130927,source1,mfr1,mpn1,partnumber2,96000,0.03749
20130928,source1,mfr1,mpn1,partnumber2,114000,0.03749
20130928,source1,mfr1,mpn1,partnumber1,114743,0.23
20130928,source1,mfr1,mpn1,partnumber3,114743,-1
20130929,source1,mfr1,mpn1,partnumber2,114000,0.03749
20130929,source1,mfr1,mpn1,partnumber1,114743,0.23
20130929,source1,mfr1,mpn1,partnumber3,114743,-1
20130930,source1,mfr1,mpn1,partnumber2,114000,0.03749
20130930,source1,mfr1,mpn1,partnumber1,114643,0.23
20130930,source1,mfr1,mpn1,partnumber3,114743,-1
20131001,source1,mfr1,mpn1,partnumber2,111000,0.03749
20131001,source1,mfr1,mpn1,partnumber1,111533,0.23
20131001,source1,mfr1,mpn1,partnumber3,111533,-1
20131002,source1,mfr1,mpn1,partnumber3,105383,-1
20131002,source1,mfr1,mpn1,partnumber1,105383,0.23
20131002,source1,mfr1,mpn1,partnumber2,105000,0.03749
20131003,source1,mfr1,mpn1,partnumber2,105000,0.03749
20131003,source1,mfr1,mpn1,partnumber1,105377,0.23
20131003,source1,mfr1,mpn1,partnumber3,105377,-1
20131004,source1,mfr1,mpn1,partnumber3,105002,-1
20131004,source1,mfr1,mpn1,partnumber1,105002,0.23
20131004,source1,mfr1,mpn1,partnumber2,102000,0.03749
20131005,source1,mfr1,mpn1,partnumber3,101290,-1
20131005,source1,mfr1,mpn1,partnumber1,101290,0.23
20131005,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131017,source1,mfr1,mpn1,partnumber2,81000,0.03749
20131017,source1,mfr1,mpn1,partnumber1,83057,0.23
20131017,source1,mfr1,mpn1,partnumber3,83057,-1
20131018,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131018,source1,mfr1,mpn1,partnumber1,78109,0.23
20131018,source1,mfr1,mpn1,partnumber3,78109,-1
20131019,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131019,source1,mfr1,mpn1,partnumber1,78097,0.23
20131019,source1,mfr1,mpn1,partnumber3,78097,-1
20131020,source1,mfr1,mpn1,partnumber3,78097,-1
20131020,source1,mfr1,mpn1,partnumber1,78097,0.23
20131020,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131021,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131021,source1,mfr1,mpn1,partnumber1,77722,0.23
20131021,source1,mfr1,mpn1,partnumber3,77722,-1
20131022,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131022,source1,mfr1,mpn1,partnumber1,77585,0.23
20131022,source1,mfr1,mpn1,partnumber3,77585,-1
20131023,source1,mfr1,mpn1,partnumber3,74359,-1
20131023,source1,mfr1,mpn1,partnumber1,74359,0.23
20131023,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131024,source1,mfr1,mpn1,partnumber2,69000,0.03749
20131024,source1,mfr1,mpn1,partnumber1,71294,0.23
20131024,source1,mfr1,mpn1,partnumber3,71294,-1
20131025,source1,mfr1,mpn1,partnumber3,67757,-1
20131025,source1,mfr1,mpn1,partnumber1,67757,0.23
20131025,source1,mfr1,mpn1,partnumber2,66000,0.03749
20131026,source1,mfr1,mpn1,partnumber2,63000,0.03749
20131026,source1,mfr1,mpn1,partnumber1,64653,0.23
20131026,source1,mfr1,mpn1,partnumber3,64653,-1
20131028,source1,mfr1,mpn1,partnumber3,64653,-1
20131028,source1,mfr1,mpn1,partnumber1,64653,0.23
20131028,source1,mfr1,mpn1,partnumber2,63000,0.03749
20131029,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131029,source1,mfr1,mpn1,partnumber1,49538,0.23
20131029,source1,mfr1,mpn1,partnumber3,49538,-1
20131030,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131030,source1,mfr1,mpn1,partnumber1,49528,0.23
20131030,source1,mfr1,mpn1,partnumber3,49528,-1
20131031,source1,mfr1,mpn1,partnumber3,49378,-1
20131031,source1,mfr1,mpn1,partnumber1,49378,0.23
20131031,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131101,source1,mfr1,mpn1,partnumber3,45853,-1
20131101,source1,mfr1,mpn1,partnumber1,45853,0.23
20131101,source1,mfr1,mpn1,partnumber2,45000,0.03749
20131102,source1,mfr1,mpn1,partnumber2,42000,0.03749
20131102,source1,mfr1,mpn1,partnumber1,45741,0.23
20131102,source1,mfr1,mpn1,partnumber3,45741,-1
20131103,source1,mfr1,mpn1,partnumber3,45741,-1
20131103,source1,mfr1,mpn1,partnumber1,45741,0.23
20131103,source1,mfr1,mpn1,partnumber2,42000,0.03749
20131104,source1,mfr1,mpn1,partnumber2,42000,0.03749
20131104,source1,mfr1,mpn1,partnumber1,45741,0.23
20131104,source1,mfr1,mpn1,partnumber3,45741,-1
20131105,source1,mfr1,mpn1,partnumber3,39384,-1
20131105,source1,mfr1,mpn1,partnumber1,39384,0.23
20131105,source1,mfr1,mpn1,partnumber2,36000,0.03749
20131106,source1,mfr1,mpn1,partnumber3,39354,-1
20131106,source1,mfr1,mpn1,partnumber1,39354,0.23
20131106,source1,mfr1,mpn1,partnumber2,36000,0.03749
20131107,source1,mfr1,mpn1,partnumber2,33000,0.03749
20131107,source1,mfr1,mpn1,partnumber1,36323,0.23
20131107,source1,mfr1,mpn1,partnumber3,36323,-1
20131109,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131109,source1,mfr1,mpn1,partnumber1,50591,0.23
20131109,source1,mfr1,mpn1,partnumber3,50591,-1
20131110,source1,mfr1,mpn1,partnumber3,50591,-1
20131110,source1,mfr1,mpn1,partnumber1,50591,0.23
20131110,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131111,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131111,source1,mfr1,mpn1,partnumber1,50591,0.23
20131111,source1,mfr1,mpn1,partnumber3,50591,-1
20131112,source1,mfr1,mpn1,partnumber3,50263,-1
20131112,source1,mfr1,mpn1,partnumber1,50263,0.23
20131112,source1,mfr1,mpn1,partnumber2,48000,0.03749
20131113,source1,mfr1,mpn1,partnumber3,80246,-1
20131113,source1,mfr1,mpn1,partnumber1,80246,0.23
20131113,source1,mfr1,mpn1,partnumber2,78000,0.03749
20131114,source1,mfr1,mpn1,partnumber3,78786,-1
20131114,source1,mfr1,mpn1,partnumber1,78786,0.23
20131114,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131115,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131115,source1,mfr1,mpn1,partnumber1,74435,0.23
20131115,source1,mfr1,mpn1,partnumber3,78435,-1
20131116,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131116,source1,mfr1,mpn1,partnumber1,74490,0.23
20131116,source1,mfr1,mpn1,partnumber3,74490,-1
20131117,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131117,source1,mfr1,mpn1,partnumber1,74490,0.23
20131117,source1,mfr1,mpn1,partnumber3,74490,-1
20131118,source1,mfr1,mpn1,partnumber3,74490,-1
20131118,source1,mfr1,mpn1,partnumber1,71490,0.23
20131118,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131126,source1,mfr1,mpn1,partnumber2,87000,0.03749
20131126,source1,mfr1,mpn1,partnumber1,89808,0.23
20131126,source1,mfr1,mpn1,partnumber3,89778,-1
20131127,source1,mfr1,mpn1,partnumber2,87000,0.03749
20131127,source1,mfr1,mpn1,partnumber1,89724,0.23
20131127,source1,mfr1,mpn1,partnumber3,89724,-1
20131128,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131128,source1,mfr1,mpn1,partnumber1,86724,0.23
20131128,source1,mfr1,mpn1,partnumber3,86724,-1
20131129,source1,mfr1,mpn1,partnumber3,86724,-1
20131129,source1,mfr1,mpn1,partnumber1,86724,0.23
20131129,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131130,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131130,source1,mfr1,mpn1,partnumber1,86664,0.23
20131130,source1,mfr1,mpn1,partnumber3,86664,-1
20131201,source1,mfr1,mpn1,partnumber3,86664,-1
20131201,source1,mfr1,mpn1,partnumber1,86664,0.23
20131201,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131205,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131205,source1,mfr1,mpn1,partnumber1,74800,0.23
20131205,source1,mfr1,mpn1,partnumber3,74800,-1
20131206,source1,mfr1,mpn1,partnumber3,74710,-1
20131206,source1,mfr1,mpn1,partnumber1,74710,0.23
20131206,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131208,source1,mfr1,mpn1,partnumber3,73740,-1
20131208,source1,mfr1,mpn1,partnumber1,73740,0.23
20131208,source1,mfr1,mpn1,partnumber2,69000,0.03749
20131209,source1,mfr1,mpn1,partnumber3,73740,-1
20131209,source1,mfr1,mpn1,partnumber1,73740,0.23
20131209,source1,mfr1,mpn1,partnumber2,69000,0.03749
20131210,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131210,source1,mfr1,mpn1,partnumber1,78660,0.23
20131210,source1,mfr1,mpn1,partnumber3,78660,-1
20131211,source1,mfr1,mpn1,partnumber2,96000,0.03749
20131211,source1,mfr1,mpn1,partnumber1,99645,0.23
20131211,source1,mfr1,mpn1,partnumber3,99645,-1
20131212,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131212,source1,mfr1,mpn1,partnumber1,102460,0.23
20131212,source1,mfr1,mpn1,partnumber3,102460,-1
20131213,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131213,source1,mfr1,mpn1,partnumber1,102410,0.23
20131213,source1,mfr1,mpn1,partnumber3,102410,-1
20131214,source1,mfr1,mpn1,partnumber3,102000,-1
20131214,source1,mfr1,mpn1,partnumber1,102000,0.23
20131214,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131215,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131215,source1,mfr1,mpn1,partnumber1,102000,0.23
20131215,source1,mfr1,mpn1,partnumber3,102000,-1
20131216,source1,mfr1,mpn1,partnumber3,100200,-1
20131216,source1,mfr1,mpn1,partnumber1,100200,0.23
20131216,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131218,source1,mfr1,mpn1,partnumber3,96739,-1
20131218,source1,mfr1,mpn1,partnumber1,96739,0.23
20131218,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131220,source1,mfr1,mpn1,partnumber2,96000,0.03749
20131220,source1,mfr1,mpn1,partnumber1,99624,0.23
20131220,source1,mfr1,mpn1,partnumber3,99624,-1
20131221,source1,mfr1,mpn1,partnumber3,96194,-1
20131221,source1,mfr1,mpn1,partnumber1,96194,0.23
20131221,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131222,source1,mfr1,mpn1,partnumber3,96194,-1
20131222,source1,mfr1,mpn1,partnumber1,96194,0.23
20131222,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131223,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131223,source1,mfr1,mpn1,partnumber1,96194,0.23
20131223,source1,mfr1,mpn1,partnumber3,96194,-1
20131224,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131224,source1,mfr1,mpn1,partnumber1,96189,0.23
20131224,source1,mfr1,mpn1,partnumber3,96189,-1
20131225,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131225,source1,mfr1,mpn1,partnumber1,95944,0.23
20131225,source1,mfr1,mpn1,partnumber3,95944,-1
20131226,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131226,source1,mfr1,mpn1,partnumber1,95944,0.23
20131226,source1,mfr1,mpn1,partnumber3,95944,-1
20131227,source1,mfr1,mpn1,partnumber3,95694,-1
20131227,source1,mfr1,mpn1,partnumber1,95694,0.23
20131227,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131228,source1,mfr1,mpn1,partnumber3,95594,-1
20131228,source1,mfr1,mpn1,partnumber1,95594,0.23
20131228,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131229,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131229,source1,mfr1,mpn1,partnumber1,95094,0.23
20131229,source1,mfr1,mpn1,partnumber3,95094,-1
20131231,source1,mfr1,mpn1,partnumber3,91469,-1
20131231,source1,mfr1,mpn1,partnumber1,91469,0.23
20131231,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140101,source1,mfr1,mpn1,partnumber3,91319,-1
20140101,source1,mfr1,mpn1,partnumber1,91319,0.23
20140101,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140102,source1,mfr1,mpn1,partnumber3,91319,-1
20140102,source1,mfr1,mpn1,partnumber1,91319,0.23
20140102,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140103,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140103,source1,mfr1,mpn1,partnumber1,90739,0.23
20140103,source1,mfr1,mpn1,partnumber3,90739,-1
20140104,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140104,source1,mfr1,mpn1,partnumber1,90701,0.23
20140104,source1,mfr1,mpn1,partnumber3,90701,-1
20140105,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140105,source1,mfr1,mpn1,partnumber1,90696,0.23
20140105,source1,mfr1,mpn1,partnumber3,90696,-1
20140106,source1,mfr1,mpn1,partnumber3,90696,-1
20140106,source1,mfr1,mpn1,partnumber1,90696,0.23
20140106,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140107,source1,mfr1,mpn1,partnumber3,87601,-1
20140107,source1,mfr1,mpn1,partnumber1,87601,0.23
20140107,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140108,source1,mfr1,mpn1,partnumber2,111000,0.03749
20140108,source1,mfr1,mpn1,partnumber1,114421,0.23
20140108,source1,mfr1,mpn1,partnumber3,114421,-1
20140109,source1,mfr1,mpn1,partnumber2,108000,0.03749
20140109,source1,mfr1,mpn1,partnumber1,111361,0.23
20140109,source1,mfr1,mpn1,partnumber3,111361,-1
20140110,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140110,source1,mfr1,mpn1,partnumber1,96183,0.23
20140110,source1,mfr1,mpn1,partnumber3,99183,-1
20140111,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140111,source1,mfr1,mpn1,partnumber1,93333,0.23
20140111,source1,mfr1,mpn1,partnumber3,93333,-1
20140112,source1,mfr1,mpn1,partnumber3,93333,-1
20140112,source1,mfr1,mpn1,partnumber1,93333,0.23
20140112,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140113,source1,mfr1,mpn1,partnumber3,90945,-1
20140113,source1,mfr1,mpn1,partnumber1,90945,0.23
20140113,source1,mfr1,mpn1,partnumber2,90000,0.03749
20140114,source1,mfr1,mpn1,partnumber3,86945,-1
20140114,source1,mfr1,mpn1,partnumber1,86945,0.23
20140114,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140115,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140115,source1,mfr1,mpn1,partnumber1,84929,0.23
20140115,source1,mfr1,mpn1,partnumber3,84929,-1
20140116,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140116,source1,mfr1,mpn1,partnumber1,84609,0.23
20140116,source1,mfr1,mpn1,partnumber3,84609,-1
20140117,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140117,source1,mfr1,mpn1,partnumber1,84604,0.23
20140117,source1,mfr1,mpn1,partnumber3,84604,-1
20140118,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140118,source1,mfr1,mpn1,partnumber1,84501,0.23
20140118,source1,mfr1,mpn1,partnumber3,84501,-1
20140119,source1,mfr1,mpn1,partnumber3,84501,-1
20140119,source1,mfr1,mpn1,partnumber1,84501,0.23
20140119,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140120,source1,mfr1,mpn1,partnumber3,84401,-1
20140120,source1,mfr1,mpn1,partnumber1,84401,0.23
20140120,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140121,source1,mfr1,mpn1,partnumber2,81000,0.03749
20140121,source1,mfr1,mpn1,partnumber1,84318,0.23
20140121,source1,mfr1,mpn1,partnumber3,81318,-1
20140122,source1,mfr1,mpn1,partnumber2,81000,0.03749
20140122,source1,mfr1,mpn1,partnumber1,83251,0.23
20140122,source1,mfr1,mpn1,partnumber3,83251,-1
20140123,source1,mfr1,mpn1,partnumber3,145735,-1
20140123,source1,mfr1,mpn1,partnumber1,145735,0.23
20140123,source1,mfr1,mpn1,partnumber2,144000,0.03749
20140124,source1,mfr1,mpn1,partnumber3,144003,-1
